features,importance,model,used_in_automl
order_items_item_last_24_24_lob_cd_i_order_no_countdist,10.0,LGBMRegressor(),1.0
nonorders_nonords_last_0_6_lob_cd_1_count,0.0,LGBMRegressor(),
order_items_item_last_12_24_product_type_cd_b_line_item_qty_sum,1.0,LGBMRegressor(),
orders_ords_last_12_24_order_pay_catg_cd_g_orig_order_value_amt_sd,0.0,LGBMRegressor(),
online_inbound_email_in_last_6_6_email_open_sum,8.0,LGBMRegressor(),
orders_ords_last_0_6_comm_channel_type_cd_m_order_no_countdist,0.0,LGBMRegressor(),
composite_nonorders_nonords_last_0_6_lob_cd_3_per,0.0,LGBMRegressor(),
orders_ords_last_6_12_comm_channel_type_cd_t_orig_order_value_amt_sum,0.0,LGBMRegressor(),
efforts_xsell_eff_full_lob_cd_4_days_since_xsell_effort_min,0.0,LGBMRegressor(),
efforts_xsell_eff_last_6_12_xsell_category_cd_x_xsell_effort_id_countdist,1.0,LGBMRegressor(),
trans_trans_last_6_12_lob_cd_1_trans_amt_payment_min,0.0,LGBMRegressor(),
nonorders_nonords_last_24_24_lob_cd_i_count,0.0,LGBMRegressor(),
trans_trans_last_0_6_trans_type_cd_cancels_trans_amt_max,2.0,LGBMRegressor(),
order_items_item_last_12_24_product_type_cd_b_line_item_qty_sd,1.0,LGBMRegressor(),
orders_ords_last_0_6_business_src_cd_b_order_no_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_lob_cd_2_xsell_effort_id_countdist,0.0,LGBMRegressor(),
composite_nonorders_nonords_last_12_24_lob_cd_3_per,0.0,LGBMRegressor(),
online_sweepentry_sse_last_3_6_device_type_mobile_sweepstake_entry_id_countdist,9.0,LGBMRegressor(),
order_items_item_last_6_12_with_offer_cd_true_order_no_line_item_no_countdist,2.0,LGBMRegressor(),
order_items_item_last_6_12_product_type_cd_b_unit_cost_amt_sd,1.0,LGBMRegressor(),
order_items_item_last_24_24_line_item_qty_sd,0.0,LGBMRegressor(),
orders_ords_last_6_12_effort_type_cd_cross_sell_orig_order_value_amt_max,2.0,LGBMRegressor(),
online_outbound_email_out_last_0_3_count,5.0,LGBMRegressor(),
order_items_item_last_0_6_lob_cd_9_order_no_countdist,0.0,LGBMRegressor(),
efforts_welcome_eff_effort_type_cd_23_days_since_welcome_effort_max,0.0,LGBMRegressor(),
online_inbound_email_in_last_0_3_email_click_sum,8.0,LGBMRegressor(),
order_items_item_last_6_12_line_item_qty_max,1.0,LGBMRegressor(),1.0
orders_ords_last_24_24_order_no_countdist,0.0,LGBMRegressor(),
efforts_customer_eff_last_12_24_effort_type_cd_b_effort_id_countdist,1.0,LGBMRegressor(),
efforts_customer_eff_last_24_24_effort_type_cd_d_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_24_24_order_pay_catg_cd_g_orig_order_value_amt_min,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_affinity_cd_book_xsell_effort_id_countdist,0.0,LGBMRegressor(),
order_items_item_last_12_24_product_type_cd_a_line_item_qty_min,0.0,LGBMRegressor(),
efforts_welcome_eff_last_full_second_chr_final_key_cd_v_effort_id_countdist,0.0,LGBMRegressor(),
efforts_customer_eff_last_0_6_effort_type_cd_24_effort_id_countdist,0.0,LGBMRegressor(),
composite_orders_ords_last_24_24_order_pay_catg_cd_d_per,2.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_xsell_category_cd_a_xsell_effort_id_countdist,0.0,LGBMRegressor(),
order_items_item_last_24_24_with_offer_cd_true_order_no_countdist,0.0,LGBMRegressor(),
trans_trans_last_12_24_trans_type_cd_refunds_trans_amt_mean,1.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_affinity_cd_video_xsell_effort_id_countdist,2.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_lob_cd_9_order_no_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_full_solicitation_type_cd_r_days_since_xsell_effort_min,3.0,LGBMRegressor(),
trans_trans_last_12_24_lob_cd_1_trans_amt_payment_mean,1.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_lob_cd_2_order_no_countdist,1.0,LGBMRegressor(),
trans_trans_last_12_24_trans_type_cd_650_trans_amt_sum,10.0,LGBMRegressor(),
efforts_welcome_eff_last_full_fourth_chr_final_key_cd_r_effort_id_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_xsell_category_cd_a_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_12_24_order_pay_catg_cd_a_orig_order_value_amt_mean,1.0,LGBMRegressor(),
efforts_customer_eff_last_6_12_effort_type_cd_xc_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_last_0_6_trans_type_cd_returns_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_24_24_effort_type_cd_cross_sell_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_12_24_order_pay_catg_cd_k_orig_order_value_amt_mean,0.0,LGBMRegressor(),
orders_ords_last_0_6_orig_order_value_amt_min,1.0,LGBMRegressor(),
order_items_item_last_6_12_product_type_cd_b_line_item_qty_sum,0.0,LGBMRegressor(),
trans_trans_last_12_24_lob_cd_9_order_no_countdist,1.0,LGBMRegressor(),
customer_order_inquiry_cs_last_12_24_resolution_type_cd_adn_order_no_countdist,0.0,LGBMRegressor(),
